policy,Omega,k,h,H,ell_o,ell_s,C,D,Lambda,chi,regime,ell_star,T_theory_concentrated,T_theory_diffuse,theory_architecture_advantage,R,event_fraction_capacity,event_fraction_free,event_fraction_diffuse,rmst_capacity,rmst_free,rmst_diffuse_capacity,rmst_capacity_penalty,rmst_architecture_advantage,mean_row_capacity_penalty,mean_row_architecture_advantage,mean_T_observed,median_T_observed,q90_T_observed,q95_T_observed,mean_blocked_fraction,prob_any_block,mean_first_block_attempt_conditional,mean_windows_started
matched,1.0,13,0.866666666666667,0.751111111111111,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,22.4602896268334,77.9217094224623,-55.4614197956289,200,1.0,1.0,1.0,24.47,24.31,89.21,0.16000000000000014,-64.74,0.16,-64.74,24.47,24.0,28.0,30.0,0.013054168530693168,0.265,18.830188679245282,1.0
matched,1.0,13,0.866666666666667,0.751111111111111,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,19.9178236487387,77.9217094224623,-58.0038857737236,200,1.0,1.0,1.0,21.5,21.395,89.21,0.10500000000000043,-67.71,0.105,-67.71,21.5,21.0,24.0,25.0,0.009453316103353584,0.175,16.257142857142856,1.0
matched,1.0,13,0.866666666666667,0.751111111111111,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,17.8785039691502,77.9217094224623,-60.04320545331209,200,1.0,1.0,1.0,18.93,18.895,89.21,0.03500000000000014,-70.28,0.035,-70.28,18.93,19.0,20.099999999999994,21.0,0.007155762429789888,0.125,14.04,1.0
matched,1.0,15,1.0,1.0,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,19.0634947267608,77.9217094224623,-58.8582146957015,200,1.0,1.0,1.0,21.395,21.395,89.21,0.0,-67.815,0.0,-67.815,21.395,21.0,25.0,26.0,0.0,0.0,nan,1.0
matched,1.0,15,1.0,1.0,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,16.6104561408793,77.9217094224623,-61.31125328158301,200,1.0,1.0,1.0,18.32,18.32,89.21,0.0,-70.88999999999999,0.0,-70.89,18.32,18.0,21.0,22.0,0.0,0.0,nan,1.0
matched,1.0,15,1.0,1.0,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,14.7023574843115,77.9217094224623,-63.2193519381508,200,1.0,1.0,1.0,16.11,16.11,89.21,0.0,-73.1,0.0,-73.1,16.11,16.0,18.0,18.0,0.0,0.0,nan,1.0
matched,1.0,15,1.0,1.0,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,13.1757146767632,77.9217094224623,-64.7459947456991,200,1.0,1.0,1.0,14.0,14.0,89.21,0.0,-75.21,0.0,-75.21,14.0,14.0,14.0,14.0,0.0,0.0,nan,1.0
matched,1.5,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,90,1.0,1.5,structural_win,0.7,101.98313412362,107.92170942246202,-5.9385752988419,200,1.0,1.0,1.0,107.5,76.29,112.73,31.209999999999994,-5.230000000000004,31.21,-5.23,107.5,108.0,114.0,116.0,0.3013458202633943,1.0,44.13,2.0
matched,1.5,4,0.266666666666667,0.0711111111111111,0.7,0.8,60,90,1.0,1.5,structural_win,0.7,98.2173651701123,107.92170942246202,-9.70434425234998,200,1.0,1.0,1.0,103.785,72.585,112.73,31.200000000000003,-8.945000000000007,31.2,-8.945,103.785,104.0,111.0,113.04999999999998,0.3117278337649417,1.0,44.13,1.99
matched,1.5,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,90,1.0,1.5,structural_win,0.7,95.1692289492348,107.92170942246202,-12.7524804732275,200,1.0,1.0,1.0,100.305,69.475,112.73,30.830000000000013,-12.424999999999997,30.83,-12.425,100.305,101.0,106.0,109.04999999999998,0.32046907890342197,1.0,44.13,1.98
