panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block,T_free_theory,T_theory,delay_theory,first_exhaustion_theory,exact_T_expected,exact_delay_expected,exact_identity_note,T_error
A,product,uniform,16,240,360,1.5,0.0,0.0,0.8,14,500,1.0,273.406,270.0,302.0,319.0,0.2080715420553479,1.0,219.172692686192,219.172692686188,-3.4106051316484797e-12,240.0,,,h0_matched_equals_uniform_pathwise,54.23330731381202
A,product,uniform,16,240,360,1.5,0.25,0.0625,0.8,14,500,1.0,370.194,370.0,377.0,379.0,0.4572675391871266,1.0,200.581057618973,363.921311120932,163.340253501958,50.5263157894737,,,,6.272688879068028
A,product,uniform,16,240,360,1.5,0.5,0.25,0.8,14,500,1.0,388.836,386.0,400.0,407.0,0.6719699303414368,1.0,137.805660751411,384.122525617045,246.316864865634,28.2352941176471,,,,4.713474382954985
A,product,uniform,16,240,360,1.5,0.75,0.5625,0.8,14,500,1.0,369.532,369.0,372.0,372.0,0.8678232875811086,1.0,31.0054348581843,368.63715755613,337.631722697946,19.5918367346939,,,,0.8948424438700044
A,product,uniform,16,240,360,1.5,0.9,0.81,0.8,14,500,1.0,361.17,361.0,362.0,362.0,0.9409100039546576,1.0,17.6314199414264,360.998129275856,343.36670933443,16.551724137931,,,,0.17187072414401428
A,product,uniform,16,240,360,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767598,13.1757146767632,3.4106051316484797e-12,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
B,product,matched,4,40,24,0.6,0.0,0.0,0.8,14,500,1.0,55.986,56.0,58.0,59.0,0.0085827084304491,0.304,54.3794587231605,54.3794587231823,2.1827872842550297e-11,40.0,,,h0_matched_equals_uniform_pathwise,1.606541276817694
B,product,matched,4,40,24,0.6,0.5,0.25,0.8,14,500,1.0,41.308,41.0,43.0,44.0,0.0167720659960282,0.406,39.6782912489107,39.6782912489434,3.27418092638254e-11,40.0,,,,1.6297087510565973
B,product,matched,4,40,24,0.6,0.9,0.81,0.8,14,500,1.0,18.006,18.0,20.0,20.0,0.0267551150603782,0.366,16.4692194683084,16.4692194683303,2.1827872842550297e-11,40.0,,,,1.5367805316696987
B,product,matched,4,40,24,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767632,13.1757146767632,0.0,40.0,14.0,0.0,h1_matched_single_carrier,0.8242853232368006
B,product,matched,4,40,40,1.0,0.0,0.0,0.8,14,500,1.0,61.188,61.0,65.0,66.0,0.1037218559963071,1.0,54.3794587231787,54.3794587231241,-5.4569682106375694e-11,40.0,,,h0_matched_equals_uniform_pathwise,6.8085412768759
B,product,matched,4,40,40,1.0,0.5,0.25,0.8,14,500,1.0,45.402,45.0,48.0,49.0,0.1144418592137043,1.0,39.6782912489471,39.6782912489289,-1.8189894035458597e-11,40.0,,,,5.723708751071101
